,contrast,dissimilarity,homogeneity,ASM,correlation,angle
fig1,88.1335020073603,5.566840916694547,0.3547872241455618,0.00961442989187185,0.5061934869905533,135.0
fig2,9.533806673221553,2.3474355987398403,0.3558940027278116,0.00770251421898617,0.715168699700592,135.0
fig3,0.8567979487713453,0.5035727301124531,0.7815533218835076,0.029549248254826466,0.9754197814705532,135.0
